i j mu_x mu_y mu_z deltaE
0 1 -0.00000000 -0.00000000 -0.24058320 3.92810000
0 2 -0.00000000 0.00000000 -0.00000300 4.55060000
0 3 0.45002530 -0.72843360 -0.00000000 5.39460000
0 4 0.00000000 0.00000000 -0.00021020 5.58590000
0 5 -0.00001920 -0.00001290 0.00000000 6.16760000
0 6 0.00000000 0.00000000 0.00000020 6.31120000
0 7 0.57107250 0.35282760 0.00000000 6.44180000
0 8 0.31165330 -0.50436850 -0.00000000 6.56640000
0 9 0.00000000 0.00000000 0.00000040 6.86480000
0 10 0.38678520 0.23897330 -0.00000000 6.96880000
0 11 -0.00000000 0.00000000 -0.37425540 7.25840000
0 12 -0.00001480 0.00002440 -0.00000000 7.35650000
0 13 0.00090700 0.00055860 0.00000000 7.49390000
0 14 0.84601610 0.52251610 -0.00000000 7.66780000
0 15 0.00000000 -0.00000000 -0.00002810 7.68620000
0 16 -0.00000000 -0.00000000 -0.09506270 7.69230000
0 17 -0.71213900 1.15298690 0.00000000 7.73350000
0 18 0.00000000 -0.00000000 0.00003900 7.76240000
0 19 1.00653480 0.62189000 -0.00000000 7.96030000
0 20 -0.00000000 0.00000000 0.00035390 8.12090000
0 21 0.00000000 -0.00000000 -0.00000020 8.15160000
0 22 -0.00000000 -0.00000000 -0.00022690 8.18520000
0 23 0.00013550 0.00008330 0.00000000 8.22680000
0 24 0.00018410 -0.00029820 -0.00000000 8.27500000
0 25 -0.00000000 0.00000000 0.00019390 8.41030000
0 26 -0.00000000 0.00000000 0.20346730 8.45170000
0 27 -0.00000000 0.00000000 -0.00000010 8.53200000
0 28 0.15085450 -0.24405690 -0.00000000 8.55690000
0 29 -0.00087410 -0.00054140 0.00000000 8.72680000
0 30 0.00000000 -0.00000000 0.00000060 8.81840000
0 31 -0.35902620 -0.22175850 0.00000000 8.88570000
0 32 0.17933370 -0.29035130 0.00000000 8.92120000
0 33 -0.00000000 0.00000000 0.00000040 8.95970000
0 34 0.00000000 -0.00000000 0.00000040 9.00810000
0 35 0.00009710 -0.00015790 -0.00000000 9.03750000
0 36 0.03642820 -0.05893380 -0.00000000 9.13490000
0 37 0.00000000 0.00000000 -0.00018650 9.18890000
0 38 0.04547990 0.02807460 0.00000000 9.19350000
0 39 -0.00000000 -0.00000000 -0.29105950 9.25950000
0 40 -0.00015500 -0.00009560 -0.00000000 9.26250000
0 41 0.00000730 0.00000340 -0.00000000 9.39170000
0 42 -0.00000000 0.00000000 -0.00020820 9.42010000
0 43 0.27329970 -0.44234140 0.00000000 9.50520000
0 44 0.00031020 0.00019100 -0.00000000 9.60580000
0 45 0.00000000 -0.00000000 -0.00013960 9.61400000
0 46 0.00000000 0.00000000 0.00016630 9.64170000
0 47 0.00000000 0.00000000 -0.00000050 9.64190000
0 48 -0.00000000 -0.00000000 -0.00011170 9.69580000
0 49 0.00000000 -0.00000000 0.09083210 9.73070000
0 50 -0.06872270 0.11135480 -0.00000000 9.78910000
0 51 0.23488610 -0.38048190 0.00000000 9.79050000
0 52 0.00327320 -0.00530170 -0.00000000 9.81940000
0 53 -0.00000000 -0.00000000 -0.10376480 9.85530000
0 54 -0.15074500 -0.09311660 0.00000000 9.86710000
0 55 0.37636220 0.23239540 -0.00000000 9.93870000
0 56 -0.00079990 0.00129440 0.00000000 9.98580000
0 57 -0.00000000 -0.00000000 0.00004830 9.99360000
0 58 0.22774770 0.14063210 0.00000000 10.07460000
0 59 0.00000000 -0.00000000 -0.19484630 10.15800000
0 60 -0.29366970 -0.18149350 -0.00000000 10.15920000
0 61 -0.00000000 0.00000000 0.00000030 10.20070000
0 62 0.00000000 -0.00000000 -0.00003890 10.28560000
0 63 -0.31395610 -0.19397210 -0.00000000 10.37460000
0 64 0.00006750 -0.00010750 0.00000000 10.42630000
0 65 -0.00000000 0.00000000 -0.00434170 10.44580000
0 66 0.00000000 -0.00000000 0.75933390 10.48150000
0 67 0.00020830 0.00012870 0.00000000 10.52860000
0 68 -0.00000000 0.00000000 0.00421430 10.53160000
0 69 -0.00000000 0.00000000 0.00169330 10.62290000
0 70 0.00005100 -0.00008380 0.00000000 10.67950000
0 71 0.00005380 -0.00008700 0.00000000 10.73020000
0 72 0.00018450 0.00011600 -0.00000000 10.75550000
0 73 -0.00000000 0.00000000 0.00023730 10.78340000
0 74 -0.00000000 0.00000000 0.00049720 10.81900000
0 75 0.00118900 -0.00192560 -0.00000000 10.85630000
0 76 0.08867860 0.05297750 0.00000000 10.86210000
0 77 0.30931560 -0.50101510 -0.00000000 10.86320000
0 78 -0.00000000 -0.00000000 0.04402400 10.97060000
0 79 0.00000000 -0.00000000 0.00000730 10.97240000
0 80 0.00000000 0.00000000 -0.62320390 11.03650000
0 81 -0.00000000 -0.00000000 0.36436980 11.11780000
0 82 0.00050130 -0.00081040 0.00000000 11.18460000
0 83 0.00000000 -0.00000000 -0.00036750 11.23640000
0 84 -0.00000000 -0.00000000 -0.00000030 11.25440000
0 85 0.00138540 0.00084990 0.00000000 11.25500000
0 86 -0.00000000 -0.00000000 0.00000000 11.25580000
0 87 -0.00010080 0.00019060 -0.00000000 11.25610000
0 88 0.31726420 0.19600370 0.00000000 11.26610000
0 89 0.33481200 -0.54196220 -0.00000000 11.29500000
0 90 0.00000000 0.00000000 -0.00000020 11.37900000
0 91 0.00000000 0.00000000 -0.22123450 11.42980000
0 92 0.00008000 -0.00002530 0.00000000 11.43850000
0 93 0.00070430 -0.00117980 -0.00000000 11.43880000
0 94 -0.00000000 0.00000000 -0.00001100 11.50790000
0 95 0.00000000 0.00000000 -0.32815920 11.54510000
0 96 -0.19052730 0.30836990 0.00000000 11.55810000
0 97 0.00001240 0.00000890 -0.00000000 11.69320000
0 98 -0.00000000 -0.00000000 0.00002860 11.72530000
0 99 0.00000000 -0.00000000 -0.00022290 11.72860000
0 100 0.00000000 0.00000000 0.00000030 11.74840000
0 101 0.00000000 -0.00000000 -0.00045990 11.75310000
0 102 -0.00007030 -0.00004210 0.00000000 11.75580000
0 103 -0.00036520 -0.00022460 0.00000000 11.77140000
0 104 -0.00027550 0.00044480 -0.00000000 11.81500000
0 105 0.00000000 -0.00000000 -0.00061420 11.85590000
0 106 -0.00000000 -0.00000000 0.00002560 11.95810000
0 107 -0.00000000 0.00000000 0.00001960 12.03960000
0 108 -0.00000640 0.00001090 -0.00000000 12.06700000
0 109 -0.00009310 -0.00006050 -0.00000000 12.06730000
0 110 0.00000000 0.00000000 -0.00000060 12.08020000
0 111 -0.00000000 0.00000000 0.00000050 12.09010000
0 112 -0.00000000 -0.00000000 0.00000050 12.13780000
0 113 -0.16067020 0.26002750 -0.00000000 12.17300000
0 114 0.00039120 -0.00063340 0.00000000 12.18560000
0 115 -0.00000000 0.00000000 -0.00001550 12.22680000
0 116 0.06381820 -0.10333920 0.00000000 12.29320000
0 117 -0.00000000 -0.00000000 -0.18999240 12.30150000
0 118 0.00000000 -0.00000000 -0.00231040 12.31810000
0 119 -0.00000000 -0.00000000 0.39203780 12.32370000
0 120 -0.00354860 0.00574900 0.00000000 12.33030000
0 121 0.00000000 0.00000000 0.71452320 12.37660000
0 122 0.47555930 0.29388000 0.00000000 12.47140000
0 123 -0.00000000 0.00000000 0.00090050 12.49170000
0 124 0.30723040 -0.49711390 0.00000000 12.53130000
0 125 0.00006230 0.00046320 -0.00000000 12.53140000
0 126 -0.01283820 -0.00794270 0.00000000 12.64120000
0 127 -0.22921850 -0.14162430 0.00000000 12.64250000
0 128 0.21272590 -0.34430310 0.00000000 12.72440000
0 129 -0.00000000 -0.00000000 -0.00000070 12.75710000
0 130 0.00000000 0.00000000 0.00000010 12.76810000
0 131 0.32142740 0.19857220 -0.00000000 12.81740000
0 132 0.00000000 -0.00000000 -0.00014140 12.83930000
0 133 -0.00124890 -0.00076320 0.00000000 12.84480000
0 134 0.30006770 0.18544440 -0.00000000 13.00910000
0 135 0.51258360 -0.82960470 -0.00000000 13.02620000
0 136 0.00543000 -0.00879260 0.00000000 13.04210000
0 137 0.00000000 0.00000000 -0.32567060 13.08780000
0 138 0.00000000 -0.00000000 -0.00000000 13.11600000
0 139 -0.09973320 -0.06157560 -0.00000000 13.11830000
0 140 0.00000000 -0.00000000 0.00000210 13.31180000
0 141 -0.23210290 -0.14341440 0.00000000 13.31560000
0 142 0.01490810 -0.02434100 -0.00000000 13.33720000
0 143 -0.00000000 0.00000000 -0.00002740 13.33950000
0 144 -0.00122250 0.00198030 -0.00000000 13.35240000
0 145 0.07327610 0.04523780 0.00000000 13.36800000
0 146 0.00000000 -0.00000000 -0.00027080 13.36960000
0 147 -0.00000000 0.00000000 -0.12090930 13.42570000
0 148 -0.02463610 0.03973900 0.00000000 13.43460000
0 149 -0.00000000 0.00000000 -0.00000850 13.47820000
0 150 -0.08232450 0.13327510 -0.00000000 13.49200000
0 151 -0.10774690 0.17433640 0.00000000 13.50180000
0 152 0.00012240 0.00007510 0.00000000 13.53390000
0 153 -0.00000000 0.00000000 -0.47226600 13.57630000
0 154 -0.27816920 -0.17199190 0.00000000 13.60880000
0 155 -0.00000000 -0.00000000 -0.00007060 13.60920000
0 156 0.15360360 -0.24841670 -0.00000000 13.64680000
0 157 -0.00056820 -0.00035110 0.00000000 13.69070000
0 158 0.00214160 -0.00348010 0.00000000 13.69650000
0 159 -0.00000000 -0.00000000 0.00064460 13.71530000
0 160 -0.41216590 -0.25466420 -0.00000000 13.75180000
0 161 -0.00072660 -0.00044900 0.00000000 13.76970000
0 162 -0.00007410 0.00011880 -0.00000000 13.79500000
0 163 -0.00077060 -0.00047700 0.00000000 13.81580000
0 164 0.00000000 -0.00000000 0.00000040 13.84390000
0 165 -0.00000000 0.00000000 -0.00002900 13.87310000
0 166 0.00075930 0.00048320 0.00000000 13.88330000
0 167 -0.21683310 0.35091720 -0.00000000 13.88450000
0 168 -0.00000000 -0.00000000 0.16737490 13.89250000
0 169 0.63833860 0.39458800 0.00000000 13.93750000
0 170 -0.26814880 0.43289320 -0.00000000 13.95890000
0 171 0.03255720 -0.05278190 -0.00000000 13.97160000
0 172 0.25649900 -0.41598590 -0.00000000 13.97180000
0 173 0.38964760 0.24063780 0.00000000 13.98510000
0 174 0.00000000 0.00000000 0.00000000 14.02440000
0 175 -0.00003040 -0.00001650 -0.00000000 14.10860000
0 176 0.24061580 -0.38942360 0.00000000 14.13190000
0 177 0.00000000 -0.00000000 -0.00044670 14.14750000
0 178 0.00051150 0.00032360 0.00000000 14.22090000
0 179 -0.00000000 0.00000000 -0.00000080 14.27790000
0 180 -0.00000000 0.00000000 -0.12879970 14.31690000
0 181 0.00003710 -0.00005500 -0.00000000 14.32450000
0 182 -0.00000000 0.00000000 -0.00001700 14.33490000
0 183 0.00003790 0.00002310 0.00000000 14.37520000
0 184 -0.02531290 -0.01566770 0.00000000 14.41740000
0 185 0.00000000 -0.00000000 -0.00000510 14.42720000
0 186 -0.22951020 -0.14177650 0.00000000 14.47700000
0 187 -0.00000000 0.00000000 0.24801970 14.48520000
0 188 0.00000000 -0.00000000 0.00438030 14.50240000
0 189 0.00043160 -0.00075120 -0.00000000 14.50520000
0 190 -0.00000000 -0.00000000 -0.00000030 14.55850000
0 191 -0.60236520 -0.37214340 -0.00000000 14.57370000
0 192 -0.00000000 0.00000000 0.00000490 14.61220000
0 193 0.00061560 0.00037900 0.00000000 14.64060000
0 194 -0.00035590 0.00062200 -0.00000000 14.65730000
0 195 -0.00000000 0.00000000 0.00001490 14.65960000
0 196 0.18688990 0.11540460 -0.00000000 14.66750000
0 197 0.38428610 -0.62201560 0.00000000 14.67690000
0 198 0.00000000 -0.00000000 -0.31356100 14.68160000
0 199 0.00000000 -0.00000000 -0.00001140 14.69230000
0 200 -0.02262930 -0.01402800 -0.00000000 14.73120000
1 1 0.00272880 0.00168730 0.00000000 0.00000000
1 2 0.00002800 -0.00004720 -0.00000000 0.62250000
1 3 -0.00000000 -0.00000000 0.00000010 1.46650000
1 4 -2.00579280 -1.23927530 -0.00000000 1.65780000
1 5 -0.00000000 0.00000000 0.41132770 2.23950000
1 6 0.03131860 -0.05068520 -0.00000000 2.38310000
1 7 -0.00000000 -0.00000000 -0.00000430 2.51370000
1 8 -0.00000000 0.00000000 0.00000050 2.63830000
1 9 0.00126390 -0.00204760 0.00000000 2.93670000
1 10 0.00000000 -0.00000000 0.00060670 3.04070000
1 11 -0.00000340 -0.00000210 0.00000000 3.33030000
1 12 0.00000000 -0.00000000 0.00000090 3.42840000
1 13 -0.00000000 0.00000000 -0.28616790 3.56580000
1 14 0.00000000 0.00000000 -0.00000340 3.73970000
1 15 -0.00042460 0.00069060 -0.00000000 3.75810000
1 16 0.00064940 0.00040000 0.00000000 3.76420000
1 17 -0.00000000 -0.00000000 -0.00000010 3.80540000
1 18 0.00009780 -0.00015910 0.00000000 3.83430000
1 19 0.00000000 0.00000000 -0.00023380 4.03220000
1 20 -0.11053170 -0.06833500 0.00000000 4.19280000
1 21 -0.01516260 0.02578110 -0.00000000 4.22350000
1 22 -1.09611030 -0.67718250 -0.00000000 4.25710000
1 23 -0.00000000 -0.00000000 0.56894260 4.29870000
1 24 0.00000000 -0.00000000 -0.00001520 4.34690000
1 25 0.04693980 0.02893630 0.00000000 4.48220000
1 26 -0.00008820 -0.00005450 -0.00000000 4.52360000
1 27 -0.33954430 0.54965950 0.00000000 4.60390000
1 28 0.00000000 -0.00000000 0.00000000 4.62880000
1 29 -0.00000000 -0.00000000 0.13863000 4.79870000
1 30 0.00002410 -0.00003900 0.00000000 4.89030000
1 31 -0.00000000 0.00000000 -0.00041470 4.95760000
1 32 -0.00000000 0.00000000 0.00000010 4.99310000
