i j mx my mz deltaE
0 1 -0.00033250 -0.00052250 0.00000000 3.92810000
0 2 -0.00001680 0.00001060 0.00000000 4.55060000
0 3 0.00000000 0.00000000 -0.00015660 5.39450000
0 4 0.79431130 1.28561260 0.00000000 5.58590000
0 5 0.00000000 0.00000000 -0.00000830 6.16770000
0 6 -0.06819450 0.04213410 0.00000000 6.31120000
0 7 0.00000000 0.00000000 0.00002300 6.44180000
0 8 0.00000000 0.00000000 0.00051120 6.56640000
0 9 0.57784340 -0.35701830 0.00000000 6.86480000
0 10 0.00000000 0.00000000 -0.00000710 6.96880000
0 11 -0.00001700 -0.00003160 0.00000000 7.25840000
0 12 0.00000000 0.00000000 -0.88083040 7.35660000
0 13 0.00000000 0.00000000 -0.00001140 7.49400000
0 14 0.00000000 0.00000000 -0.00000910 7.66770000
0 15 0.00058380 -0.00037080 0.00000000 7.68610000
0 16 0.00015890 0.00025540 0.00000000 7.69230000
0 17 0.00000000 0.00000000 -0.00005830 7.73350000
0 18 0.00067850 -0.00042240 0.00000000 7.76250000
0 19 0.00000000 0.00000000 -0.00000420 7.96030000
0 20 0.07443280 0.12174500 0.00000000 8.12100000
0 21 -0.77538980 0.47937010 0.00000000 8.15160000
0 22 -0.40405340 -0.65288220 0.00000000 8.18520000
0 23 0.00000000 0.00000000 0.00001140 8.22680000
0 24 0.00000000 0.00000000 0.11832960 8.27500000
0 25 0.29607520 0.47949560 0.00000000 8.41030000
0 26 -0.00000920 -0.00004220 0.00000000 8.45170000
0 27 0.42096700 -0.25999770 0.00000000 8.53200000
0 28 0.00000000 0.00000000 -0.00009760 8.55690000
0 29 0.00000000 0.00000000 -0.00000990 8.72680000
0 30 -0.00004090 0.00002230 0.00000000 8.81840000
0 31 0.00000000 0.00000000 -0.00000410 8.88580000
0 32 0.00000000 0.00000000 0.00071510 8.92120000
0 33 -0.12041280 0.07447980 0.00000000 8.95970000
0 34 -0.99082740 0.61209760 0.00000000 9.00810000
0 35 0.00000000 0.00000000 0.11647400 9.03750000
0 36 0.00000000 0.00000000 -0.00081400 9.13490000
0 37 0.88556600 1.43341640 0.00000000 9.18890000
0 38 0.00000000 0.00000000 -0.00001790 9.19350000
0 39 0.00071320 0.00115860 0.00000000 9.25950000
0 40 0.00000000 0.00000000 -0.00005650 9.26250000
0 41 0.00000000 0.00000000 0.00000660 9.39170000
0 42 -0.19705680 -0.31893390 0.00000000 9.42010000
0 43 0.00000000 0.00000000 0.00282030 9.50530000
0 44 0.00000000 0.00000000 0.00000940 9.60580000
0 45 -0.00039560 0.00024600 0.00000000 9.61410000
0 46 0.06720600 0.10648300 0.00000000 9.64170000
0 47 0.06106880 -0.03999330 0.00000000 9.64180000
0 48 -0.55557650 -0.89931640 0.00000000 9.69580000
0 49 0.00053830 0.00086310 0.00000000 9.73080000
0 50 0.00000000 0.00000000 -1.06767390 9.78910000
0 51 0.00000000 0.00000000 -0.29601860 9.79050000
0 52 0.00000000 0.00000000 -1.12299060 9.81940000
0 53 -0.00002520 -0.00007120 0.00000000 9.85530000
0 54 0.00000000 0.00000000 -0.00001220 9.86710000
0 55 0.00000000 0.00000000 0.00000680 9.93870000
0 56 0.00000000 0.00000000 -0.39799040 9.98580000
0 57 0.00014220 -0.00009900 0.00000000 9.99370000
0 58 0.00000000 0.00000000 -0.00001700 10.07460000
0 59 0.00008430 0.00010240 0.00000000 10.15800000
0 60 0.00000000 0.00000000 -0.00000090 10.15920000
0 61 0.39686970 -0.24518130 0.00000000 10.20070000
0 62 0.00010990 -0.00007400 0.00000000 10.28560000
0 63 0.00000000 0.00000000 0.00000490 10.37460000
0 64 0.00000000 0.00000000 -0.50883680 10.42630000
0 65 -0.00142520 -0.00225180 0.00000000 10.44570000
0 66 -0.00151120 -0.00243030 0.00000000 10.48150000
0 67 0.00000000 0.00000000 0.00001880 10.52860000
0 68 0.42038290 0.68043110 0.00000000 10.53150000
0 69 -0.18300410 -0.29623470 0.00000000 10.62290000
0 70 0.00000000 0.00000000 0.11316930 10.67950000
0 71 0.00000000 0.00000000 -0.09956690 10.73020000
0 72 0.00000000 0.00000000 0.00000320 10.75550000
0 73 -0.00001010 0.00000460 0.00000000 10.78340000
0 74 0.00001530 -0.00001130 0.00000000 10.81900000
0 75 0.00000000 0.00000000 -0.19299810 10.85630000
0 76 0.00000000 0.00000000 0.00002460 10.86210000
0 77 0.00000000 0.00000000 -0.00134200 10.86310000
0 78 0.00028360 0.00017060 0.00000000 10.97060000
0 79 -1.03959530 0.64230660 0.00000000 10.97230000
0 80 0.00007730 0.00015370 0.00000000 11.03650000
0 81 -0.00020740 -0.00034140 0.00000000 11.11780000
0 82 0.00000000 0.00000000 0.56177230 11.18460000
0 83 -0.01546480 -0.02400230 0.00000000 11.23640000
0 84 -1.98949970 1.22925110 0.00000000 11.25440000
0 85 0.00000000 0.00000000 -0.01009680 11.25490000
0 86 0.05524670 -0.03413830 0.00000000 11.25580000
0 87 0.00000000 0.00000000 -1.53307050 11.25610000
0 88 0.00000000 0.00000000 0.00012140 11.26610000
0 89 0.00000000 0.00000000 0.00106390 11.29500000
0 90 0.00975990 -0.00602620 0.00000000 11.37900000
0 91 0.00033260 0.00050610 0.00000000 11.42980000
0 92 0.00000000 0.00000000 -0.00801960 11.43850000
0 93 0.00000000 0.00000000 -0.19272490 11.43880000
0 94 -0.00086600 0.00053470 0.00000000 11.50790000
0 95 -0.00019920 -0.00028320 0.00000000 11.54510000
0 96 0.00000000 0.00000000 -0.00171460 11.55810000
0 97 0.00000000 0.00000000 0.00006920 11.69320000
0 98 0.00068420 -0.00012190 0.00000000 11.72520000
0 99 -0.63851990 -1.03349820 0.00000000 11.72860000
