 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000275    0.000170   -0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1    -0.0000000    -0.0000000    -0.2405832     3.92810     0.00557
     0     2    -0.0000000     0.0000000    -0.0000030     4.55060     0.00000
     0     3     0.4500253    -0.7284336    -0.0000000     5.39460     0.09690
     0     4     0.0000000     0.0000000    -0.0002102     5.58590     0.00000
     0     5    -0.0000192    -0.0000129     0.0000000     6.16760     0.00000
     0     6     0.0000000     0.0000000     0.0000002     6.31120     0.00000
     0     7     0.5710725     0.3528276     0.0000000     6.44180     0.07112
     0     8     0.3116533    -0.5043685    -0.0000000     6.56640     0.05655
     0     9     0.0000000     0.0000000     0.0000004     6.86480     0.00000
     0    10     0.3867852     0.2389733    -0.0000000     6.96880     0.03529
     0    11    -0.0000000     0.0000000    -0.3742554     7.25840     0.02491
     0    12    -0.0000148     0.0000244    -0.0000000     7.35650     0.00000
     0    13     0.0009070     0.0005586     0.0000000     7.49390     0.00000
     0    14     0.8460161     0.5225161    -0.0000000     7.66780     0.18575
     0    15     0.0000000    -0.0000000    -0.0000281     7.68620     0.00000
     0    16    -0.0000000    -0.0000000    -0.0950627     7.69230     0.00170
     0    17    -0.7121390     1.1529869     0.0000000     7.73350     0.34796
     0    18     0.0000000    -0.0000000     0.0000390     7.76240     0.00000
     0    19     1.0065348     0.6218900    -0.0000000     7.96030     0.27301
     0    20    -0.0000000     0.0000000     0.0003539     8.12090     0.00000
     0    21     0.0000000    -0.0000000    -0.0000002     8.15160     0.00000
     0    22    -0.0000000    -0.0000000    -0.0002269     8.18520     0.00000
     0    23     0.0001355     0.0000833     0.0000000     8.22680     0.00000
     0    24     0.0001841    -0.0002982    -0.0000000     8.27500     0.00000
     0    25    -0.0000000     0.0000000     0.0001939     8.41030     0.00000
     0    26    -0.0000000     0.0000000     0.2034673     8.45170     0.00857
     0    27    -0.0000000     0.0000000    -0.0000001     8.53200     0.00000
     0    28     0.1508545    -0.2440569    -0.0000000     8.55690     0.01726
     0    29    -0.0008741    -0.0005414     0.0000000     8.72680     0.00000
     0    30     0.0000000    -0.0000000     0.0000006     8.81840     0.00000
     0    31    -0.3590262    -0.2217585     0.0000000     8.88570     0.03877
     0    32     0.1793337    -0.2903513     0.0000000     8.92120     0.02546
     0    33    -0.0000000     0.0000000     0.0000004     8.95970     0.00000
     0    34     0.0000000    -0.0000000     0.0000004     9.00810     0.00000
     0    35     0.0000971    -0.0001579    -0.0000000     9.03750     0.00000
     0    36     0.0364282    -0.0589338    -0.0000000     9.13490     0.00107
     0    37     0.0000000     0.0000000    -0.0001865     9.18890     0.00000
     0    38     0.0454799     0.0280746     0.0000000     9.19350     0.00064
     0    39    -0.0000000    -0.0000000    -0.2910595     9.25950     0.01922
     0    40    -0.0001550    -0.0000956    -0.0000000     9.26250     0.00000
     0    41     0.0000073     0.0000034    -0.0000000     9.39170     0.00000
     0    42    -0.0000000     0.0000000    -0.0002082     9.42010     0.00000
     0    43     0.2732997    -0.4423414     0.0000000     9.50520     0.06296
     0    44     0.0003102     0.0001910    -0.0000000     9.60580     0.00000
     0    45     0.0000000    -0.0000000    -0.0001396     9.61400     0.00000
     0    46     0.0000000     0.0000000     0.0001663     9.64170     0.00000
     0    47     0.0000000     0.0000000    -0.0000005     9.64190     0.00000
     0    48    -0.0000000    -0.0000000    -0.0001117     9.69580     0.00000
     0    49     0.0000000    -0.0000000     0.0908321     9.73070     0.00197
     0    50    -0.0687227     0.1113548    -0.0000000     9.78910     0.00411
     0    51     0.2348861    -0.3804819     0.0000000     9.79050     0.04796
     0    52     0.0032732    -0.0053017    -0.0000000     9.81940     0.00001
