 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Transition magnetic dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)
     0     1     0.0003244    -0.0005269    -0.0000000     3.92810
     0     2     0.0000141     0.0000087    -0.0000000     4.55060
     0     3     0.0000000     0.0000000     0.0001562     5.39460
     0     4    -0.7943075     1.2856230     0.0000000     5.58590
     0     5    -0.0000000     0.0000000     0.0000079     6.16760
     0     6     0.0681951     0.0421465    -0.0000000     6.31120
     0     7     0.0000000     0.0000000     0.0000029     6.44180
     0     8    -0.0000000    -0.0000000    -0.0005112     6.56640
     0     9    -0.5778403    -0.3570219    -0.0000000     6.86480
     0    10     0.0000000     0.0000000    -0.0000005     6.96880
     0    11     0.0000194    -0.0000308    -0.0000000     7.25840
     0    12     0.0000000     0.0000000    -0.8808329     7.35650
     0    13     0.0000000    -0.0000000    -0.0000313     7.49390
     0    14     0.0000000    -0.0000000    -0.0000012     7.66780
     0    15     0.0005726     0.0003529     0.0000000     7.68620
     0    16    -0.0001606     0.0002597     0.0000000     7.69230
     0    17     0.0000000    -0.0000000     0.0000580     7.73350
     0    18    -0.0006827    -0.0004215    -0.0000000     7.76240
     0    19     0.0000000    -0.0000000    -0.0000005     7.96030
     0    20     0.0744958    -0.1217030     0.0000000     8.12090
     0    21     0.7753928     0.4793423     0.0000000     8.15160
     0    22     0.4040502    -0.6528882    -0.0000000     8.18520
     0    23     0.0000000    -0.0000000     0.0000412     8.22680
     0    24     0.0000000     0.0000000    -0.1183114     8.27500
     0    25    -0.2960769     0.4794914    -0.0000000     8.41030
     0    26    -0.0000322     0.0000502    -0.0000000     8.45170
     0    27    -0.4209480    -0.2599980    -0.0000000     8.53200
     0    28    -0.0000000    -0.0000000     0.0001095     8.55690
     0    29     0.0000000    -0.0000000     0.0000060     8.72680
     0    30     0.0000389     0.0000242    -0.0000000     8.81840
     0    31     0.0000000    -0.0000000    -0.0000008     8.88570
     0    32    -0.0000000     0.0000000     0.0007407     8.92120
     0    33     0.1200376     0.0742530    -0.0000000     8.95970
     0    34    -0.9908548    -0.6121293    -0.0000000     9.00810
     0    35     0.0000000     0.0000000    -0.1164536     9.03750
     0    36    -0.0000000     0.0000000    -0.0008216     9.13490
     0    37     0.8855643    -1.4334215    -0.0000000     9.18890
     0    38     0.0000000    -0.0000000    -0.0000023     9.19350
     0    39    -0.0007179     0.0011613     0.0000000     9.25950
     0    40     0.0000000    -0.0000000     0.0000300     9.26250
     0    41     0.0000000    -0.0000000    -0.0000055     9.39170
     0    42     0.1970163    -0.3188842    -0.0000000     9.42010
     0    43     0.0000000     0.0000000    -0.0028462     9.50520
     0    44     0.0000000     0.0000000     0.0000272     9.60580
     0    45     0.0003985     0.0002461     0.0000000     9.61400
     0    46     0.0666551    -0.1075487     0.0000000     9.64170
     0    47     0.0619244     0.0386484     0.0000000     9.64190
     0    48     0.5555397    -0.8993069    -0.0000000     9.69580
     0    49     0.0005346    -0.0008654    -0.0000000     9.73070
     0    50     0.0000000     0.0000000     1.0675239     9.78910
     0    51     0.0000000     0.0000000     0.2985314     9.79050
     0    52     0.0000000     0.0000000     1.1224901     9.81940
     0    53     0.0000391    -0.0000589     0.0000000     9.85530
     0    54    -0.0000000    -0.0000000    -0.0000011     9.86710
     0    55    -0.0000000     0.0000000     0.0000017     9.93870
     0    56    -0.0000000    -0.0000000    -0.3979461     9.98580
     0    57    -0.0001448    -0.0000885    -0.0000000     9.99360
     0    58     0.0000000     0.0000000     0.0000003    10.07460
     0    59    -0.0000691     0.0001118     0.0000000    10.15800
     0    60     0.0000000     0.0000000    -0.0000017    10.15920
     0    61    -0.3968360    -0.2451634    -0.0000000    10.20070
     0    62    -0.0001132    -0.0000691     0.0000000    10.28560
     0    63     0.0000000     0.0000000    -0.0000005    10.37460
     0    64    -0.0000000     0.0000000     0.5088463    10.42630
     0    65     0.0014323    -0.0023264     0.0000000    10.44580
     0    66     0.0015146    -0.0024535    -0.0000000    10.48150
     0    67     0.0000000    -0.0000000     0.0000137    10.52860
     0    68    -0.4203745     0.6803665     0.0000000    10.53160
     0    69     0.1830966    -0.2963697     0.0000000    10.62290
     0    70    -0.0000000     0.0000000     0.1131847    10.67950
     0    71     0.0000000    -0.0000000    -0.0996383    10.73020
     0    72    -0.0000000     0.0000000    -0.0000557    10.75550
     0    73     0.0000106     0.0000064     0.0000000    10.78340
     0    74    -0.0000183    -0.0000108     0.0000000    10.81900
     0    75     0.0000000     0.0000000     0.1930244    10.85630
     0    76     0.0000000     0.0000000    -0.0000015    10.86210
     0    77     0.0000000    -0.0000000    -0.0013571    10.86320
     0    78     0.0001031    -0.0002829    -0.0000000    10.97060
     0    79     1.0394810     0.6422597     0.0000000    10.97240
     0    80    -0.0000903     0.0001421     0.0000000    11.03650
     0    81     0.0002111    -0.0003408    -0.0000000    11.11780
     0    82     0.0000000    -0.0000000    -0.5616137    11.18460
     0    83     0.0154390    -0.0240165    -0.0000000    11.23640
     0    84     1.9895593     1.2292489    -0.0000000    11.25440
     0    85     0.0000000    -0.0000000     0.0068024    11.25500
     0    86     0.0540679     0.0334055    -0.0000000    11.25580
     0    87     0.0000000     0.0000000    -1.5331515    11.25610
     0    88    -0.0000000     0.0000000     0.0000170    11.26610
     0    89    -0.0000000    -0.0000000     0.0010811    11.29500
     0    90    -0.0097716    -0.0060368     0.0000000    11.37900
     0    91    -0.0003130     0.0005272     0.0000000    11.42980
     0    92    -0.0000000     0.0000000     0.0093597    11.43850
     0    93     0.0000000    -0.0000000     0.1926719    11.43880
     0    94    -0.0008757    -0.0005412     0.0000000    11.50790
     0    95     0.0001802    -0.0002980     0.0000000    11.54510
     0    96    -0.0000000     0.0000000     0.0017187    11.55810
     0    97    -0.0000000     0.0000000    -0.0000202    11.69320
     0    98    -0.0005418    -0.0004013     0.0000000    11.72530
