 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000274   -0.000169    0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     0.0000000    -0.2405869     3.92810     0.00557
     0     2     0.0000000     0.0000000     0.0000095     4.55060     0.00000
     0     3     0.4500444     0.7284325     0.0000000     5.39450     0.09690
     0     4     0.0000000     0.0000000    -0.0002083     5.58590     0.00000
     0     5    -0.0000238     0.0000093     0.0000000     6.16770     0.00000
     0     6     0.0000000     0.0000000    -0.0000017     6.31120     0.00000
     0     7     0.5710093    -0.3527713     0.0000000     6.44180     0.07110
     0     8     0.3116299     0.5043783     0.0000000     6.56640     0.05655
     0     9     0.0000000     0.0000000    -0.0000035     6.86480     0.00000
     0    10     0.3868069    -0.2389921     0.0000000     6.96880     0.03530
     0    11     0.0000000     0.0000000    -0.3742607     7.25840     0.02491
     0    12     0.0000165     0.0000258     0.0000000     7.35660     0.00000
     0    13     0.0008537    -0.0005399     0.0000000     7.49400     0.00000
     0    14     0.8460595    -0.5226053     0.0000000     7.66770     0.18578
     0    15     0.0000000     0.0000000     0.0000169     7.68610     0.00000
     0    16     0.0000000     0.0000000    -0.0950608     7.69230     0.00170
     0    17    -0.7122322    -1.1529705     0.0000000     7.73350     0.34798
     0    18     0.0000000     0.0000000     0.0000402     7.76250     0.00000
     0    19     1.0065245    -0.6218708     0.0000000     7.96030     0.27300
     0    20     0.0000000     0.0000000    -0.0003463     8.12100     0.00000
     0    21     0.0000000     0.0000000     0.0000086     8.15160     0.00000
     0    22     0.0000000     0.0000000    -0.0002227     8.18520     0.00000
     0    23     0.0001291    -0.0000846     0.0000000     8.22680     0.00000
     0    24     0.0001872     0.0002988     0.0000000     8.27500     0.00000
     0    25     0.0000000     0.0000000     0.0002020     8.41030     0.00000
     0    26     0.0000000     0.0000000    -0.2034710     8.45170     0.00857
     0    27     0.0000000     0.0000000     0.0000004     8.53200     0.00000
     0    28     0.1508373     0.2440369     0.0000000     8.55690     0.01725
     0    29    -0.0008564     0.0005158     0.0000000     8.72680     0.00000
     0    30     0.0000000     0.0000000     0.0000047     8.81840     0.00000
     0    31    -0.3590497     0.2217702     0.0000000     8.88580     0.03877
     0    32    -0.1793490    -0.2903853     0.0000000     8.92120     0.02546
     0    33     0.0000000     0.0000000    -0.0000045     8.95970     0.00000
     0    34     0.0000000     0.0000000     0.0000052     9.00810     0.00000
     0    35     0.0000978     0.0001567     0.0000000     9.03750     0.00000
     0    36    -0.0363960    -0.0589434     0.0000000     9.13490     0.00107
     0    37     0.0000000     0.0000000     0.0001847     9.18890     0.00000
     0    38     0.0454682    -0.0280807     0.0000000     9.19350     0.00064
     0    39     0.0000000     0.0000000    -0.2910577     9.25950     0.01922
     0    40    -0.0001504     0.0000898     0.0000000     9.26250     0.00000
     0    41    -0.0000241     0.0000013     0.0000000     9.39170     0.00000
     0    42     0.0000000     0.0000000    -0.0002062     9.42010     0.00000
