 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Transition magnetic dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)
     0     1    -0.0003325    -0.0005225     0.0000000     3.92810
     0     2    -0.0000168     0.0000106     0.0000000     4.55060
     0     3     0.0000000     0.0000000    -0.0001566     5.39450
     0     4     0.7943113     1.2856126     0.0000000     5.58590
     0     5     0.0000000     0.0000000    -0.0000083     6.16770
     0     6    -0.0681945     0.0421341     0.0000000     6.31120
     0     7     0.0000000     0.0000000     0.0000230     6.44180
     0     8     0.0000000     0.0000000     0.0005112     6.56640
     0     9     0.5778434    -0.3570183     0.0000000     6.86480
     0    10     0.0000000     0.0000000    -0.0000071     6.96880
     0    11    -0.0000170    -0.0000316     0.0000000     7.25840
     0    12     0.0000000     0.0000000    -0.8808304     7.35660
     0    13     0.0000000     0.0000000    -0.0000114     7.49400
     0    14     0.0000000     0.0000000    -0.0000091     7.66770
     0    15     0.0005838    -0.0003708     0.0000000     7.68610
     0    16     0.0001589     0.0002554     0.0000000     7.69230
     0    17     0.0000000     0.0000000    -0.0000583     7.73350
     0    18     0.0006785    -0.0004224     0.0000000     7.76250
     0    19     0.0000000     0.0000000    -0.0000042     7.96030
     0    20     0.0744328     0.1217450     0.0000000     8.12100
     0    21    -0.7753898     0.4793701     0.0000000     8.15160
     0    22    -0.4040534    -0.6528822     0.0000000     8.18520
     0    23     0.0000000     0.0000000     0.0000114     8.22680
     0    24     0.0000000     0.0000000     0.1183296     8.27500
     0    25     0.2960752     0.4794956     0.0000000     8.41030
     0    26    -0.0000092    -0.0000422     0.0000000     8.45170
     0    27     0.4209670    -0.2599977     0.0000000     8.53200
     0    28     0.0000000     0.0000000    -0.0000976     8.55690
     0    29     0.0000000     0.0000000    -0.0000099     8.72680
     0    30    -0.0000409     0.0000223     0.0000000     8.81840
     0    31     0.0000000     0.0000000    -0.0000041     8.88580
     0    32     0.0000000     0.0000000     0.0007151     8.92120
     0    33    -0.1204128     0.0744798     0.0000000     8.95970
     0    34    -0.9908274     0.6120976     0.0000000     9.00810
     0    35     0.0000000     0.0000000     0.1164740     9.03750
     0    36     0.0000000     0.0000000    -0.0008140     9.13490
     0    37     0.8855660     1.4334164     0.0000000     9.18890
     0    38     0.0000000     0.0000000    -0.0000179     9.19350
     0    39     0.0007132     0.0011586     0.0000000     9.25950
     0    40     0.0000000     0.0000000    -0.0000565     9.26250
     0    41     0.0000000     0.0000000     0.0000066     9.39170
     0    42    -0.1970568    -0.3189339     0.0000000     9.42010
     0    43     0.0000000     0.0000000     0.0028203     9.50530
     0    44     0.0000000     0.0000000     0.0000094     9.60580
     0    45    -0.0003956     0.0002460     0.0000000     9.61410
     0    46     0.0672060     0.1064830     0.0000000     9.64170
     0    47     0.0610688    -0.0399933     0.0000000     9.64180
     0    48    -0.5555765    -0.8993164     0.0000000     9.69580
     0    49     0.0005383     0.0008631     0.0000000     9.73080
     0    50     0.0000000     0.0000000    -1.0676739     9.78910
     0    51     0.0000000     0.0000000    -0.2960186     9.79050
     0    52     0.0000000     0.0000000    -1.1229906     9.81940
     0    53    -0.0000252    -0.0000712     0.0000000     9.85530
     0    54     0.0000000     0.0000000    -0.0000122     9.86710
     0    55     0.0000000     0.0000000     0.0000068     9.93870
     0    56     0.0000000     0.0000000    -0.3979904     9.98580
     0    57     0.0001422    -0.0000990     0.0000000     9.99370
     0    58     0.0000000     0.0000000    -0.0000170    10.07460
     0    59     0.0000843     0.0001024     0.0000000    10.15800
     0    60     0.0000000     0.0000000    -0.0000009    10.15920
     0    61     0.3968697    -0.2451813     0.0000000    10.20070
     0    62     0.0001099    -0.0000740     0.0000000    10.28560
     0    63     0.0000000     0.0000000     0.0000049    10.37460
     0    64     0.0000000     0.0000000    -0.5088368    10.42630
     0    65    -0.0014252    -0.0022518     0.0000000    10.44570
     0    66    -0.0015112    -0.0024303     0.0000000    10.48150
     0    67     0.0000000     0.0000000     0.0000188    10.52860
     0    68     0.4203829     0.6804311     0.0000000    10.53150
     0    69    -0.1830041    -0.2962347     0.0000000    10.62290
     0    70     0.0000000     0.0000000     0.1131693    10.67950
     0    71     0.0000000     0.0000000    -0.0995669    10.73020
     0    72     0.0000000     0.0000000     0.0000032    10.75550
     0    73    -0.0000101     0.0000046     0.0000000    10.78340
     0    74     0.0000153    -0.0000113     0.0000000    10.81900
     0    75     0.0000000     0.0000000    -0.1929981    10.85630
     0    76     0.0000000     0.0000000     0.0000246    10.86210
     0    77     0.0000000     0.0000000    -0.0013420    10.86310
     0    78     0.0002836     0.0001706     0.0000000    10.97060
     0    79    -1.0395953     0.6423066     0.0000000    10.97230
     0    80     0.0000773     0.0001537     0.0000000    11.03650
     0    81    -0.0002074    -0.0003414     0.0000000    11.11780
     0    82     0.0000000     0.0000000     0.5617723    11.18460
     0    83    -0.0154648    -0.0240023     0.0000000    11.23640
     0    84    -1.9894997     1.2292511     0.0000000    11.25440
     0    85     0.0000000     0.0000000    -0.0100968    11.25490
     0    86     0.0552467    -0.0341383     0.0000000    11.25580
     0    87     0.0000000     0.0000000    -1.5330705    11.25610
     0    88     0.0000000     0.0000000     0.0001214    11.26610
     0    89     0.0000000     0.0000000     0.0010639    11.29500
     0    90     0.0097599    -0.0060262     0.0000000    11.37900
     0    91     0.0003326     0.0005061     0.0000000    11.42980
     0    92     0.0000000     0.0000000    -0.0080196    11.43850
     0    93     0.0000000     0.0000000    -0.1927249    11.43880
     0    94    -0.0008660     0.0005347     0.0000000    11.50790
     0    95    -0.0001992    -0.0002832     0.0000000    11.54510
     0    96     0.0000000     0.0000000    -0.0017146    11.55810
     0    97     0.0000000     0.0000000     0.0000692    11.69320
     0    98     0.0006842    -0.0001219     0.0000000    11.72520
     0    99    -0.6385199    -1.0334982     0.0000000    11.72860
     0   100     0.0403774    -0.0255909     0.0000000    11.74840
     0   101     0.3393976     0.5492631     0.0000000    11.75310
     0   102     0.0000000     0.0000000    -0.0001938    11.75580
     0   103     0.0000000     0.0000000     0.0001552    11.77140
     0   104     0.0000000     0.0000000    -0.8048681    11.81510
     0   105     0.1285448     0.2080152     0.0000000    11.85590
     0   106     0.0008749    -0.0005602     0.0000000    11.95810
     0   107    -0.0018295     0.0011744     0.0000000    12.03960
     0   108     0.0000000     0.0000000    -1.1902576    12.06700
     0   109     0.0000000     0.0000000     0.0061359    12.06730
     0   110     0.2916887    -0.1802026     0.0000000    12.08020
     0   111     0.7683066    -0.4747282     0.0000000    12.09000
     0   112     0.7840741    -0.4844180     0.0000000    12.13780
     0   113     0.0000000     0.0000000     0.0004505    12.17300
     0   114     0.0000000     0.0000000    -0.6890364    12.18560
     0   115     0.0004194    -0.0002529     0.0000000    12.22680
     0   116     0.0000000     0.0000000    -0.0000382    12.29320
     0   117    -0.0001159    -0.0001923     0.0000000    12.30150
     0   118    -0.2462317    -0.3983068     0.0000000    12.31800
     0   119     0.0013436     0.0021758     0.0000000    12.32370
     0   120     0.0000000     0.0000000     0.0000232    12.33030
     0   121     0.0001802     0.0002836     0.0000000    12.37660
     0   122     0.0000000     0.0000000    -0.0000006    12.47140
     0   123    -0.1474082    -0.2382031     0.0000000    12.49180
     0   124     0.0000000     0.0000000    -0.0007240    12.53130
     0   125     0.0000000     0.0000000     0.0000166    12.53140
     0   126     0.0000000     0.0000000     0.0000255    12.64130
     0   127     0.0000000     0.0000000     0.0000007    12.64240
     0   128     0.0000000     0.0000000     0.0013168    12.72440
     0   129     0.0636705    -0.0393196     0.0000000    12.75710
     0   130     0.1126337    -0.0695824     0.0000000    12.76810
     0   131     0.0000000     0.0000000    -0.0000064    12.81730
     0   132     0.3270649     0.5294629     0.0000000    12.83930
     0   133     0.0000000     0.0000000    -0.0000566    12.84480
     0   134     0.0000000     0.0000000     0.0000760    13.00910
     0   135     0.0000000     0.0000000    -0.0028999    13.02620
     0   136     0.0000000     0.0000000     0.0278680    13.04210
     0   137    -0.0001262    -0.0002056     0.0000000    13.08780
     0   138    -0.5994302     0.3703658     0.0000000    13.11590
     0   139     0.0000000     0.0000000    -0.0000099    13.11830
     0   140     0.9024341    -0.5576672     0.0000000    13.31180
